Date,k_JP_eq
2008-12-31,0.3943971860131601
2009-03-31,0.3967850946617197
2009-06-30,0.3980156643659684
2009-09-30,0.4019292004590871
2009-12-31,0.4055062532837656
2010-03-31,0.408932512559254
2010-06-30,0.4095999001295946
2010-09-30,0.4043500714180115
2010-12-31,0.4020389094681244
2011-03-31,0.4010301376152601
2011-06-30,0.4016054237077906
2011-09-30,0.4021083579880974
2011-12-31,0.4029356052057913
2012-03-31,0.4038636581301173
2012-06-30,0.4053181852277634
2012-09-30,0.4063057708684727
2012-12-31,0.407927019851628
2013-03-31,0.4090151874685654
2013-06-30,0.411625092094301
2013-09-30,0.4149921180375863
2013-12-31,0.4186220220107251
2014-03-31,0.4222190891675472
2014-06-30,0.4260321887256558
2014-09-30,0.4296525926639977
2014-12-31,0.433526998695417
2015-03-31,0.4371502711908194
2015-06-30,0.4410842427014018
2015-09-30,0.4448809232200174
2015-12-31,0.4489024190956016
2016-03-31,0.4528556445944377
2016-06-30,0.4571235303980451
2016-09-30,0.4617258943952722
2016-12-31,0.4664569010168515
2017-03-31,0.4710064117500214
2017-06-30,0.4757447611023047
2017-09-30,0.4805160684604625
2017-12-31,0.4853739608814899
2018-03-31,0.4901204263983828
2018-06-30,0.4947436264506999
2018-09-30,0.4996011448702052
2018-12-31,0.5043234754659462
2019-03-31,0.5087607960457615
2019-06-30,0.5136635008260626
2019-09-30,0.5183708714617355
2019-12-31,0.5233096248007241
2020-03-31,0.5280034835106083
2020-06-30,0.5331138448743598
2020-09-30,0.5379808028955393
2020-12-31,0.5438477179498373
2021-03-31,0.5487513064437007
2021-06-30,0.5540659903107665
2021-09-30,0.5598843407679887
2021-12-31,0.5662618750645597
2022-03-31,0.5717989951192477
2022-06-30,0.5780813991356359
2022-09-30,0.5836881511971015
2022-12-31,0.589604132916663
2023-03-31,0.595661183174408
2023-06-30,0.6014968827665003
2023-09-30,0.6071456741875755
2023-12-31,0.6132733876966054
2024-03-31,0.6194690145373346
2024-06-30,0.6258820171278914
2024-09-30,0.632064565234344
2024-12-31,0.6385023054511214
2025-03-31,0.6452371214527604
2025-06-30,0.651831854056377
2025-09-30,0.6588623293697387
