Time Series Search Export,Search term,Search filters,,Last update of Debt service ratios data,Downloaded at,Source,Source URL,Download URL,About Debt service ratios
,,,,2025-06-16,2025-09-08 15:46 CEST,BIS,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.H?view=observations,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.H?view=observations&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/DSR

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,DSR_BORROWERS:Borrowers,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2007-12-31,F:Free,,A:Normal value,7.8
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2008-03-31,F:Free,,A:Normal value,7.8
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2008-06-30,F:Free,,A:Normal value,7.7
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2008-09-30,F:Free,,A:Normal value,7.6
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2008-12-31,F:Free,,A:Normal value,7.6
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2009-03-31,F:Free,,A:Normal value,7.5
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2009-06-30,F:Free,,A:Normal value,7.4
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2009-09-30,F:Free,,A:Normal value,7.4
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2009-12-31,F:Free,,A:Normal value,7.4
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2010-03-31,F:Free,,A:Normal value,7.3
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2010-06-30,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2010-09-30,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2010-12-31,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2011-03-31,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2011-06-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2011-09-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2011-12-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2012-03-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2012-06-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2012-09-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2012-12-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2013-03-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2013-06-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2013-09-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2013-12-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2014-03-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2014-06-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2014-09-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2014-12-31,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2015-03-31,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2015-06-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2015-09-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2015-12-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2016-03-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2016-06-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2016-09-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2016-12-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2017-03-31,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2017-06-30,F:Free,,A:Normal value,7.0
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2017-09-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2017-12-31,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2018-03-31,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2018-06-30,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2018-09-30,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2018-12-31,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2019-03-31,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2019-06-30,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2019-09-30,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2019-12-31,F:Free,,A:Normal value,7.3
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2020-03-31,F:Free,,A:Normal value,7.3
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2020-06-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2020-09-30,F:Free,,A:Normal value,7.1
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2020-12-31,F:Free,,A:Normal value,7.2
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,2021-03-31,F:Free,,A:Normal value,7.2
