DATE,HHMSDODNS
2016-06-30,9498.285
2016-09-30,9541.356
2016-12-31,9591.93
2017-03-31,9664.608
2017-06-30,9723.502
2017-09-30,9783.501
2017-12-31,9852.345
2018-03-31,9916.561
2018-06-30,9989.382
2018-09-30,10063.302
2018-12-31,10121.618
2019-03-31,10175.749
2019-06-30,10254.836
2019-09-30,10330.392
2019-12-31,10391.32
2020-03-31,10462.085
2020-06-30,10525.951
2020-09-30,10663.8
2020-12-31,10783.195
2021-03-31,10922.077
2021-06-30,11379.466
2021-09-30,11591.924
2021-12-31,11814.49
2022-03-31,12074.005
2022-06-30,12333.959
2022-09-30,12530.225
2022-12-31,12654.093
2023-03-31,12741.256
2023-06-30,12835.36
2023-09-30,12949.666
2023-12-31,13017.056
2024-03-31,13086.622
2024-06-30,13192.795
2024-09-30,13298.03
2024-12-31,13381.127
2025-03-31,13456.219
2025-06-30,13565.143
