Time Series Search Export,Search term,Search filters,,Last update of Debt service ratios data,Downloaded at,Source,Source URL,Download URL,About Debt service ratios
,,,,2025-06-16,2025-09-08 15:47 CEST,BIS,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.N?,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.N?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/DSR

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,DSR_BORROWERS:Borrowers,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2007-06-30,F:Free,,A:Normal value,35.4
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2007-09-30,F:Free,,A:Normal value,35.6
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2007-12-31,F:Free,,A:Normal value,36.0
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2008-03-31,F:Free,,A:Normal value,35.4
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2008-06-30,F:Free,,A:Normal value,36.2
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2008-09-30,F:Free,,A:Normal value,36.4
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2008-12-31,F:Free,,A:Normal value,37.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2009-03-31,F:Free,,A:Normal value,38.8
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2009-06-30,F:Free,,A:Normal value,39.4
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2009-09-30,F:Free,,A:Normal value,39.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2009-12-31,F:Free,,A:Normal value,39.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2010-03-31,F:Free,,A:Normal value,37.9
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2010-06-30,F:Free,,A:Normal value,36.5
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,2010-09-30,F:Free,,A:Normal value,35.0
