Time Series Search Export,Search term,Search filters,,Last update of Debt service ratios data,Downloaded at,Source,Source URL,Download URL,About Debt service ratios
,,,,2025-06-16,2025-09-08 16:02 CEST,BIS,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.P?view=observations&additional_ts=BIS%2CWS_DSR%2C1.0%255EQ.JP.H%2BN,https://data.bis.org/topics/DSR/BIS%2CWS_DSR%2C1.0/Q.JP.P?view=observations&additional_ts=BIS%2CWS_DSR%2C1.0%255EQ.JP.H%2BN&file_format=csv&format=wide&split_frequencies=false&transposed=true&include=code%2Clabel,https://data.bis.org/topics/DSR

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,DSR_BORROWERS:Borrowers,Unit,Unit multiplier,TIME_PERIOD:Period,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31
"BIS,WS_DSR,1.0",Q.JP.H,Q:Quarterly,JP:Japan,H:Households & NPISHs,Per cent,Units,,8.9,8.7,8.8,8.9,8.9,8.8,8.8,8.9,8.8,8.8,9.0,9.0,9.0,8.9,8.9,8.9,8.9,8.8,8.8,8.8,8.7,8.6,8.5,8.5,8.2,8.2,8.2,8.2,8.2,8.1,8.0,8.0,7.9,7.9,7.8,7.8,7.8,7.7,7.6,7.6,7.5,7.4,7.4,7.4,7.3,7.2,7.2,7.2,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.1,7.1,7.2,7.2,7.4,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.7,7.7,7.8,7.7,7.8
"BIS,WS_DSR,1.0",Q.JP.N,Q:Quarterly,JP:Japan,N:Non-financial corporations,Per cent,Units,,58.8,57.2,55.8,55.8,53.5,51.4,50.3,49.3,48.6,47.9,47.9,48.2,47.5,46.2,44.3,43.5,42.3,41.1,40.1,39.8,38.2,36.9,35.8,35.6,36.4,35.8,36.1,36.2,36.1,36.0,36.5,36.7,36.4,35.4,35.6,36.0,35.4,36.2,36.4,37.9,38.8,39.4,39.9,39.9,37.9,36.5,35.0,34.2,34.0,34.5,35.3,35.8,35.5,34.3,34.5,34.5,34.2,33.4,33.0,32.9,32.7,32.5,32.9,33.0,32.1,30.7,29.9,29.6,29.1,29.3,29.9,30.4,30.5,30.2,29.9,29.8,29.5,29.7,30.3,31.0,31.6,32.1,32.8,33.6,34.2,38.0,38.9,38.9,38.7,37.1,36.5,36.7,36.7,37.1,37.6,38.0,37.5,36.9,36.3,35.9,35.9,35.7,35.3,35.6
"BIS,WS_DSR,1.0",Q.JP.P,Q:Quarterly,JP:Japan,P:Private non-financial sector,Per cent,Units,,20.6,20.1,19.9,20.0,19.6,19.2,19.1,19.0,18.8,18.7,18.7,18.9,18.7,18.4,18.1,18.0,17.7,17.4,17.2,17.1,16.7,16.3,16.0,16.0,16.0,15.7,15.8,15.8,15.8,15.6,15.7,15.7,15.6,15.4,15.4,15.5,15.3,15.3,15.3,15.6,15.6,15.6,15.6,15.6,15.2,15.0,14.7,14.6,14.5,14.5,14.6,14.6,14.5,14.3,14.3,14.3,14.3,14.1,14.1,14.2,14.2,14.1,14.2,14.3,14.2,13.9,13.8,13.7,13.6,13.6,13.7,13.9,14.0,13.9,13.9,13.9,13.9,14.0,14.1,14.2,14.4,14.4,14.6,14.7,14.8,15.3,15.4,15.5,15.5,15.7,15.7,15.8,15.8,15.9,16.0,16.1,16.1,16.1,16.1,16.2,16.2,16.1,16.0,16.1
