DATE,AGSEBMPTCMAHDFS
2013-03-31,1468060.0
2013-06-30,1502437.0
2013-09-30,1544992.0
2013-12-31,1573512.0
2014-03-31,1589754.0
2014-06-30,1603922.0
2014-09-30,1627514.0
2014-12-31,1648504.0
2015-03-31,1646186.0
2015-06-30,1677244.0
2015-09-30,1729458.0
2015-12-31,1775452.0
2016-03-31,1803851.0
2016-06-30,1843974.0
2016-09-30,1885329.0
2016-12-31,1932958.0
2017-03-31,1977111.0
2017-06-30,2022780.0
2017-09-30,2076398.0
2017-12-31,2126459.0
2018-03-31,2161480.0
2018-06-30,2200202.0
2018-09-30,2245245.0
2018-12-31,2292274.0
2019-03-31,2314979.0
2019-06-30,2340233.0
2019-09-30,2369090.0
2019-12-31,2406043.0
2020-03-31,2429819.0
2020-06-30,2417572.0
2020-09-30,2428376.0
2020-12-31,2428326.0
2021-03-31,2431388.0
2021-06-30,2459586.0
2021-09-30,2474651.0
2021-12-31,2501812.0
2022-03-31,2534783.0
2022-06-30,2583871.0
2022-09-30,2637387.0
2022-12-31,2687938.0
2023-03-31,2717875.0
2023-06-30,2765004.0
2023-09-30,2820881.0
2023-12-31,2870681.0
2024-03-31,2906200.0
2024-06-30,2950767.0
2024-09-30,2994366.0
2024-12-31,3044587.0
2025-03-31,3077968.0
2025-06-30,3127052.0
